Valuation Date,Curve Name,Date,Value,Label
2014-06-26,AED-3ME,2016-06-26,0.010722186347108458,2Y
2014-06-26,AED-3ME,2015-06-26,0.008609907890714204,1Y
2014-06-26,AED-3ME,2014-09-26,0.00720229716347452,3M
2014-06-26,AED-3ME,2024-06-26,0.036108273834360834,10Y
2014-06-26,AED-3ME,2014-07-26,0.004214107606022714,1M
2014-06-28,AED-3ME,2021-06-28,0.02910126024938905,7Y
2014-06-28,AED-3ME,2015-03-28,0.0070780190502292804,9M
2014-06-28,AED-3ME,2019-06-28,0.022874510502561233,5Y
2014-06-28,AED-3ME,2018-06-28,0.019131770381001053,4Y
2014-06-28,AED-3ME,2017-06-28,0.014889201921492378,3Y
2014-06-28,AED-3ME,2014-12-28,0.007173030722238577,6M
2014-06-28,AED-3ME,2016-06-28,0.010748661469420488,2Y
2014-06-28,AED-3ME,2015-06-28,0.008727031446865763,1Y
2014-06-28,AED-3ME,2014-09-28,0.007202577565838911,3M
2014-06-28,AED-3ME,2024-06-28,0.036124871577460964,10Y
2014-06-28,AED-3ME,2014-07-28,0.004218442314193942,1M
2014-06-30,AED-3ME,2021-06-30,0.02900357434638889,7Y
2014-06-30,AED-3ME,2015-03-30,0.00707863380125456,9M
2014-06-30,AED-3ME,2019-06-30,0.02268995564326144,5Y
2014-06-30,AED-3ME,2018-06-30,0.01904301501113871,4Y
2014-06-30,AED-3ME,2017-06-30,0.014802875065898335,3Y
2014-06-30,AED-3ME,2014-12-30,0.007173830375381756,6M
2014-06-30,AED-3ME,2016-06-30,0.01078798779263848,2Y
2014-06-30,AED-3ME,2015-06-30,0.008584561491013103,1Y
2014-06-30,AED-3ME,2014-09-30,0.0072000219277437195,3M
2014-06-30,AED-3ME,2024-06-30,0.03603109404870676,10Y
2014-06-30,AED-3ME,2014-07-30,0.004214083282027631,1M
2014-07-01,AED-3ME,2021-07-01,0.029190420336855205,7Y
2014-07-01,AED-3ME,2015-04-01,0.0070537259527300375,9M
2014-07-01,AED-3ME,2019-07-01,0.022897376099008097,5Y
2014-07-01,AED-3ME,2018-07-01,0.019040393551666326,4Y
2014-07-01,AED-3ME,2017-07-01,0.014784584172789945,3Y
2014-07-01,AED-3ME,2015-01-01,0.007135952372285668,6M
2014-07-01,AED-3ME,2016-07-01,0.010565185203568868,2Y
2014-07-01,AED-3ME,2015-07-01,0.008561021747785426,1Y
2014-07-01,AED-3ME,2014-10-01,0.007127757555481643,3M
2014-07-01,AED-3ME,2024-07-01,0.036128801931053514,10Y
2014-07-01,AED-3ME,2014-08-01,0.0041417172979296875,1M
2014-07-02,AED-3ME,2021-07-02,0.029763641571559026,7Y
2014-07-02,AED-3ME,2015-04-02,0.007085905898921788,9M
2014-07-02,AED-3ME,2019-07-02,0.023378071415369205,5Y
2014-07-02,AED-3ME,2018-07-02,0.019519780216218953,4Y
2014-07-02,AED-3ME,2017-07-02,0.015245920351716607,3Y
2014-07-02,AED-3ME,2015-01-02,0.007135952372285622,6M
2014-07-02,AED-3ME,2016-07-02,0.010762163047435257,2Y
2014-07-02,AED-3ME,2015-07-02,0.00853347553337426,1Y
2014-07-02,AED-3ME,2014-10-02,0.0071277575554809045,3M
2014-07-02,AED-3ME,2024-07-02,0.036849176679737645,10Y
2014-07-02,AED-3ME,2014-08-02,0.004141717297929051,1M
2014-07-03,AED-3ME,2021-07-03,0.029853207347129,7Y
2014-07-03,AED-3ME,2015-04-03,0.007085905898921636,9M
